username,content,Lingkungan,Harga,Pemandangan,cleaning,hapusEmoji,replaceTOM,caseFolding,tokenizing,formalisasi,stopwordRemoval,stemming
Zendy Andini,"So much to do😆😆 seru karena suhu di sarangan sejuk jadi ngapain aja ga gerah dan happy terus,  banyak makanan juga dan bisa speedboat dengan harga yg lumayan masuk akal (padahal tempat wisata) 😍 …",Positif,,Positif,So much to do😆😆 seru karena suhu di sarangan sejuk jadi ngapain aja ga gerah dan happy terus   banyak makanan juga dan bisa speedboat dengan harga yg lumayan masuk akal  padahal tempat wisata  😍 …,So much to do seru karena suhu di sarangan sejuk jadi ngapain aja ga gerah dan happy terus   banyak makanan juga dan bisa speedboat dengan harga yg lumayan masuk akal  padahal tempat wisata   ,So much to do seru karena suhu di sarangan sejuk jadi ngapain aja ga gerah dan happy terus banyak makanan juga dan bisa speedboat dengan harga yg lumayan masuk akal  padahal tempat wisata ,so much to do seru karena suhu di sarangan sejuk jadi ngapain aja ga gerah dan happy terus banyak makanan juga dan bisa speedboat dengan harga yg lumayan masuk akal  padahal tempat wisata ,"['so', 'much', 'to', 'do', 'seru', 'karena', 'suhu', 'di', 'sarangan', 'sejuk', 'jadi', 'ngapain', 'aja', 'ga', 'gerah', 'dan', 'happy', 'terus', 'banyak', 'makanan', 'juga', 'dan', 'bisa', 'speedboat', 'dengan', 'harga', 'yg', 'lumayan', 'masuk', 'akal', 'padahal', 'tempat', 'wisata']","['so', 'much', 'to', 'do', 'seru', 'karena', 'suhu', 'di', 'sarangan', 'sejuk', 'jadi', 'sedang apa', 'saja', 'ga', 'gerah', 'dan', 'bahagia', 'terus', 'banyak', 'makanan', 'juga', 'dan', 'bisa', 'speedboat', 'dengan', 'harga', 'yang', 'lumayan', 'masuk', 'akal', 'padahal', 'tempat', 'wisata']","['so', 'much', 'to', 'do', 'seru', 'suhu', 'sarangan', 'sejuk', 'sedang apa', 'ga', 'gerah', 'bahagia', 'makanan', 'speedboat', 'harga', 'lumayan', 'masuk', 'akal', 'wisata']","['so', 'much', 'to', 'do', 'seru', 'suhu', 'sarangan', 'sejuk', 'sedang apa', 'ga', 'gerah', 'bahagia', 'makan', 'speedboat', 'harga', 'lumayan', 'masuk', 'akal', 'wisata']"
Auliya Putri,Kenapa selalu hujan saat berada di tengah tengah telaga?,,,,Kenapa selalu hujan saat berada di tengah tengah telaga,Kenapa selalu hujan saat berada di tengah tengah telaga,Kenapa selalu hujan saat berada di tengah tengah telaga,kenapa selalu hujan saat berada di tengah tengah telaga,"['kenapa', 'selalu', 'hujan', 'saat', 'berada', 'di', 'tengah', 'tengah', 'telaga']","['kenapa', 'selalu', 'hujan', 'saat', 'berada', 'di', 'tengah', 'tengah', 'telaga']","['hujan', 'telaga']","['hujan', 'telaga']"
Rochmat Purwanto,Dinginnya puncak gunung berpadu dengan keindahan alam dan fasilitas yang mendukung.   …,,,Positif,Dinginnya puncak gunung berpadu dengan keindahan alam dan fasilitas yang mendukung    …,Dinginnya puncak gunung berpadu dengan keindahan alam dan fasilitas yang mendukung    ,Dinginnya puncak gunung berpadu dengan keindahan alam dan fasilitas yang mendukung ,dinginnya puncak gunung berpadu dengan keindahan alam dan fasilitas yang mendukung ,"['dinginnya', 'puncak', 'gunung', 'berpadu', 'dengan', 'keindahan', 'alam', 'dan', 'fasilitas', 'yang', 'mendukung']","['dinginnya', 'puncak', 'gunung', 'berpadu', 'dengan', 'keindahan', 'alam', 'dan', 'fasilitas', 'yang', 'mendukung']","['dinginnya', 'puncak', 'gunung', 'berpadu', 'keindahan', 'alam', 'fasilitas', 'mendukung']","['dingin', 'puncak', 'gunung', 'padu', 'indah', 'alam', 'fasilitas', 'dukung']"
Romli Astuti,"Kalau bahasa ku waduk yaa heheh,  ternyata rame bgt sihhh,   butuh perjuangan juga dari jepara ke telaga.  .   buat yg belum pernah kesini pas diperjalanan pake jaket sama sarung tgn yaa dingin pollll tapi pas udah di telaga anget kok.  .  .   …",Positif,,,Kalau bahasa ku waduk yaa heheh   ternyata rame bgt sihhh    butuh perjuangan juga dari jepara ke telaga       buat yg belum pernah kesini pas diperjalanan pake jaket sama sarung tgn yaa dingin pollll tapi pas udah di telaga anget kok          …,Kalau bahasa ku waduk yaa heheh   ternyata rame bgt sihhh    butuh perjuangan juga dari jepara ke telaga       buat yg belum pernah kesini pas diperjalanan pake jaket sama sarung tgn yaa dingin pollll tapi pas udah di telaga anget kok          ,Kalau bahasa ku waduk yaa heheh ternyata rame bgt sih butuh perjuangan juga dari jepara ke telaga buat yg belum pernah kesini pas diperjalanan pake jaket sama sarung tgn yaa dingin pol tapi pas udah di telaga anget kok ,kalau bahasa ku waduk yaa heheh ternyata rame bgt sih butuh perjuangan juga dari jepara ke telaga buat yg belum pernah kesini pas diperjalanan pake jaket sama sarung tgn yaa dingin pol tapi pas udah di telaga anget kok ,"['kalau', 'bahasa', 'ku', 'waduk', 'yaa', 'heheh', 'ternyata', 'rame', 'bgt', 'sih', 'butuh', 'perjuangan', 'juga', 'dari', 'jepara', 'ke', 'telaga', 'buat', 'yg', 'belum', 'pernah', 'kesini', 'pas', 'diperjalanan', 'pake', 'jaket', 'sama', 'sarung', 'tgn', 'yaa', 'dingin', 'pol', 'tapi', 'pas', 'udah', 'di', 'telaga', 'anget', 'kok']","['kalau', 'bahasa', 'ku', 'waduk', 'yaa', 'heheh', 'ternyata', 'ramai', 'banget', 'sih', 'butuh', 'perjuangan', 'juga', 'dari', 'jepara', 'ke', 'telaga', 'buat', 'yang', 'belum', 'pernah', 'kesini', 'pas', 'diperjalanan', 'pakai', 'jaket', 'sama', 'sarung', 'tgn', 'yaa', 'dingin', 'pol', 'tapi', 'pas', 'sudah', 'di', 'telaga', 'anget', 'kok']","['bahasa', 'ku', 'waduk', 'yaa', 'heheh', 'ramai', 'banget', 'sih', 'butuh', 'perjuangan', 'jepara', 'telaga', 'kesini', 'pas', 'diperjalanan', 'pakai', 'jaket', 'sarung', 'tgn', 'yaa', 'dingin', 'pol', 'pas', 'telaga', 'anget']","['bahasa', 'ku', 'waduk', 'yaa', 'heheh', 'ramai', 'banget', 'sih', 'butuh', 'juang', 'jepara', 'telaga', 'kesini', 'pas', 'jalan', 'pakai', 'jaket', 'sarung', 'tgn', 'yaa', 'dingin', 'pol', 'pas', 'telaga', 'anget']"
Jajan Hunter,"Adem cocok buat piknik keluarga
Kuliner banyak pilihan sate,  bakso,  ronde ,  jagung bakar,  pecel
Penginapan banyak mulai harga 75rban utk backpaker sampai hotel bintang 3",,,,"Adem cocok buat piknik keluarga
Kuliner banyak pilihan sate   bakso   ronde    jagung bakar   pecel
Penginapan banyak mulai harga 75rban utk backpaker sampai hotel bintang 3","Adem cocok buat piknik keluarga
Kuliner banyak pilihan sate   bakso   ronde    jagung bakar   pecel
Penginapan banyak mulai harga 75rban utk backpaker sampai hotel bintang 3","Adem cocok buat piknik keluarga
Kuliner banyak pilihan sate bakso ronde jagung bakar pecel
Penginapan banyak mulai harga 75rban utk backpaker sampai hotel bintang 3","adem cocok buat piknik keluarga
kuliner banyak pilihan sate bakso ronde jagung bakar pecel
penginapan banyak mulai harga 75rban utk backpaker sampai hotel bintang 3","['adem', 'cocok', 'buat', 'piknik', 'keluarga', 'kuliner', 'banyak', 'pilihan', 'sate', 'bakso', 'ronde', 'jagung', 'bakar', 'pecel', 'penginapan', 'banyak', 'mulai', 'harga', '75rban', 'utk', 'backpaker', 'sampai', 'hotel', 'bintang', '3']","['adem', 'cocok', 'buat', 'piknik', 'keluarga', 'kuliner', 'banyak', 'pilihan', 'sate', 'bakso', 'ronde', 'jagung', 'bakar', 'pecel', 'penginapan', 'banyak', 'mulai', 'harga', '75rban', 'untuk', 'backpaker', 'sampai', 'hotel', 'bintang', '3']","['adem', 'cocok', 'piknik', 'keluarga', 'kuliner', 'pilihan', 'sate', 'bakso', 'ronde', 'jagung', 'bakar', 'pecel', 'penginapan', 'harga', '75rban', 'backpaker', 'hotel', 'bintang', '3']","['adem', 'cocok', 'piknik', 'keluarga', 'kuliner', 'pilih', 'sate', 'bakso', 'ronde', 'jagung', 'bakar', 'pecel', 'inap', 'harga', '75rban', 'backpaker', 'hotel', 'bintang', '3']"
Khoirozi Ahmad,Telaga Sarangan merupakan tempat wisata alam yang menyajikan pemandangan alam indah yang memesona.   Tempat ini cocok untuk dikunjungi bersama keluarga atau orang terkasih.  ,,,Positif,Telaga Sarangan merupakan tempat wisata alam yang menyajikan pemandangan alam indah yang memesona    Tempat ini cocok untuk dikunjungi bersama keluarga atau orang terkasih,Telaga Sarangan merupakan tempat wisata alam yang menyajikan pemandangan alam indah yang memesona    Tempat ini cocok untuk dikunjungi bersama keluarga atau orang terkasih,Telaga Sarangan merupakan tempat wisata alam yang menyajikan pemandangan alam indah yang memesona Tempat ini cocok untuk dikunjungi bersama keluarga atau orang terkasih,telaga sarangan merupakan tempat wisata alam yang menyajikan pemandangan alam indah yang memesona tempat ini cocok untuk dikunjungi bersama keluarga atau orang terkasih,"['telaga', 'sarangan', 'merupakan', 'tempat', 'wisata', 'alam', 'yang', 'menyajikan', 'pemandangan', 'alam', 'indah', 'yang', 'memesona', 'tempat', 'ini', 'cocok', 'untuk', 'dikunjungi', 'bersama', 'keluarga', 'atau', 'orang', 'terkasih']","['telaga', 'sarangan', 'merupakan', 'tempat', 'wisata', 'alam', 'yang', 'menyajikan', 'pemandangan', 'alam', 'indah', 'yang', 'memesona', 'tempat', 'ini', 'cocok', 'untuk', 'dikunjungi', 'bersama', 'keluarga', 'atau', 'orang', 'terkasih']","['telaga', 'sarangan', 'wisata', 'alam', 'menyajikan', 'pemandangan', 'alam', 'indah', 'memesona', 'cocok', 'dikunjungi', 'keluarga', 'orang', 'terkasih']","['telaga', 'sarangan', 'wisata', 'alam', 'saji', 'pandang', 'alam', 'indah', 'pesona', 'cocok', 'kunjung', 'keluarga', 'orang', 'kasih']"
Tri Ani A (tias),"Rame.   Wkwk,  namanya juga temoat wisata ya kan.   Jadi ya begitulah.   Tapo kebersihan terjaga,  alhamdulillah ketemu sama orang yang baik juga,  hehe.   Aman dan nyaman.   Fotonya antri banyak,  jadi harus sabar dan pinter antri",Positif,,Positif,Rame    Wkwk   namanya juga temoat wisata ya kan    Jadi ya begitulah    Tapo kebersihan terjaga   alhamdulillah ketemu sama orang yang baik juga   hehe    Aman dan nyaman    Fotonya antri banyak   jadi harus sabar dan pinter antri,Rame    Wkwk   namanya juga temoat wisata ya kan    Jadi ya begitulah    Tapo kebersihan terjaga   alhamdulillah ketemu sama orang yang baik juga   hehe    Aman dan nyaman    Fotonya antri banyak   jadi harus sabar dan pinter antri,Rame Wkwk namanya juga temoat wisata ya kan Jadi ya begitulah Tapo kebersihan terjaga alhamdulillah ketemu sama orang yang baik juga hehe Aman dan nyaman Fotonya antri banyak jadi harus sabar dan pinter antri,rame wkwk namanya juga temoat wisata ya kan jadi ya begitulah tapo kebersihan terjaga alhamdulillah ketemu sama orang yang baik juga hehe aman dan nyaman fotonya antri banyak jadi harus sabar dan pinter antri,"['rame', 'wkwk', 'namanya', 'juga', 'temoat', 'wisata', 'ya', 'kan', 'jadi', 'ya', 'begitulah', 'tapo', 'kebersihan', 'terjaga', 'alhamdulillah', 'ketemu', 'sama', 'orang', 'yang', 'baik', 'juga', 'hehe', 'aman', 'dan', 'nyaman', 'fotonya', 'antri', 'banyak', 'jadi', 'harus', 'sabar', 'dan', 'pinter', 'antri']","['ramai', 'wkwk', 'namanya', 'juga', 'temoat', 'wisata', 'iya', 'kan', 'jadi', 'iya', 'begitulah', 'tapo', 'kebersihan', 'terjaga', 'alhamdulillah', 'ketemu', 'sama', 'orang', 'yang', 'baik', 'juga', 'he', 'aman', 'dan', 'nyaman', 'fotonya', 'antri', 'banyak', 'jadi', 'harus', 'sabar', 'dan', 'pinter', 'antri']","['ramai', 'wkwk', 'namanya', 'temoat', 'wisata', 'iya', 'iya', 'tapo', 'kebersihan', 'terjaga', 'alhamdulillah', 'ketemu', 'orang', 'he', 'aman', 'nyaman', 'fotonya', 'antri', 'sabar', 'pinter', 'antri']","['ramai', 'wkwk', 'nama', 'temoat', 'wisata', 'iya', 'iya', 'tapo', 'bersih', 'jaga', 'alhamdulillah', 'ketemu', 'orang', 'he', 'aman', 'nyaman', 'foto', 'antri', 'sabar', 'pinter', 'antri']"
Novita Dyan,"Suasana sejuk,  nyaman,  apalagi pas weekday lumayan sepi,  menenangkan pikiran,  bnyak yg jual sate kelinci dan sate  ayam,  harga tidak terlalu mahal,  rata rata sate kelinci 20k sedangkan ayam 17k,  ada fasilitas toilet juga,  gatau free atau …",Positif,Negatif,,Suasana sejuk   nyaman   apalagi pas weekday lumayan sepi   menenangkan pikiran   bnyak yg jual sate kelinci dan sate  ayam   harga tidak terlalu mahal   rata rata sate kelinci 20k sedangkan ayam 17k   ada fasilitas toilet juga   gatau free atau …,Suasana sejuk   nyaman   apalagi pas weekday lumayan sepi   menenangkan pikiran   bnyak yg jual sate kelinci dan sate  ayam   harga tidak terlalu mahal   rata rata sate kelinci 20k sedangkan ayam 17k   ada fasilitas toilet juga   gatau free atau ,Suasana sejuk nyaman apalagi pas weekday lumayan sepi menenangkan pikiran bnyak yg jual sate kelinci dan sate  ayam harga tidak terlalu mahal rata rata sate kelinci 20k sedangkan ayam 17k ada fasilitas toilet juga gatau free atau ,suasana sejuk nyaman apalagi pas weekday lumayan sepi menenangkan pikiran bnyak yg jual sate kelinci dan sate  ayam harga tidak terlalu mahal rata rata sate kelinci 20k sedangkan ayam 17k ada fasilitas toilet juga gatau free atau ,"['suasana', 'sejuk', 'nyaman', 'apalagi', 'pas', 'weekday', 'lumayan', 'sepi', 'menenangkan', 'pikiran', 'bnyak', 'yg', 'jual', 'sate', 'kelinci', 'dan', 'sate', 'ayam', 'harga', 'tidak', 'terlalu', 'mahal', 'rata', 'rata', 'sate', 'kelinci', '20k', 'sedangkan', 'ayam', '17k', 'ada', 'fasilitas', 'toilet', 'juga', 'gatau', 'free', 'atau']","['suasana', 'sejuk', 'nyaman', 'apalagi', 'pas', 'weekday', 'lumayan', 'sepi', 'menenangkan', 'pikiran', 'bnyak', 'yang', 'jual', 'sate', 'kelinci', 'dan', 'sate', 'ayam', 'harga', 'tidak', 'terlalu', 'mahal', 'rata', 'rata', 'sate', 'kelinci', '20k', 'sedangkan', 'ayam', '17k', 'ada', 'fasilitas', 'toilet', 'juga', 'gatau', 'free', 'atau']","['suasana', 'sejuk', 'nyaman', 'pas', 'weekday', 'lumayan', 'sepi', 'menenangkan', 'pikiran', 'bnyak', 'jual', 'sate', 'kelinci', 'sate', 'ayam', 'harga', 'mahal', 'sate', 'kelinci', '20k', 'ayam', '17k', 'fasilitas', 'toilet', 'gatau', 'free']","['suasana', 'sejuk', 'nyaman', 'pas', 'weekday', 'lumayan', 'sepi', 'tenang', 'pikir', 'bnyak', 'jual', 'sate', 'kelinci', 'sate', 'ayam', 'harga', 'mahal', 'sate', 'kelinci', '20k', 'ayam', '17k', 'fasilitas', 'toilet', 'gatau', 'free']"
Litta Faradilla,Bagus pemandangannya .   Udara juga sejuk .  .  pas bnget healing ke sarangan .   Menghilangkan rasa penat lelah  setelah bekerja .  .  .  👍👍👍😍😍 …,Positif,,Positif,Bagus pemandangannya     Udara juga sejuk       pas bnget healing ke sarangan     Menghilangkan rasa penat lelah  setelah bekerja          👍👍👍😍😍 …,Bagus pemandangannya     Udara juga sejuk       pas bnget healing ke sarangan     Menghilangkan rasa penat lelah  setelah bekerja           ,Bagus pemandangannya Udara juga sejuk pas bnget healing ke sarangan Menghilangkan rasa penat lelah  setelah bekerja ,bagus pemandangannya udara juga sejuk pas bnget healing ke sarangan menghilangkan rasa penat lelah  setelah bekerja ,"['bagus', 'pemandangannya', 'udara', 'juga', 'sejuk', 'pas', 'bnget', 'healing', 'ke', 'sarangan', 'menghilangkan', 'rasa', 'penat', 'lelah', 'setelah', 'bekerja']","['bagus', 'pemandangannya', 'udara', 'juga', 'sejuk', 'pas', 'bnget', 'healing', 'ke', 'sarangan', 'menghilangkan', 'rasa', 'penat', 'lelah', 'setelah', 'bekerja']","['bagus', 'pemandangannya', 'udara', 'sejuk', 'pas', 'bnget', 'healing', 'sarangan', 'menghilangkan', 'penat', 'lelah']","['bagus', 'pandang', 'udara', 'sejuk', 'pas', 'bnget', 'healing', 'sarangan', 'hilang', 'penat', 'lelah']"
Aris Prass,"Tempatnya sangat sejuk, ,  berbeda dengan suhu kota yang panas",Positif,,,Tempatnya sangat sejuk     berbeda dengan suhu kota yang panas,Tempatnya sangat sejuk     berbeda dengan suhu kota yang panas,Tempatnya sangat sejuk berbeda dengan suhu kota yang panas,tempatnya sangat sejuk berbeda dengan suhu kota yang panas,"['tempatnya', 'sangat', 'sejuk', 'berbeda', 'dengan', 'suhu', 'kota', 'yang', 'panas']","['tempatnya', 'sangat', 'sejuk', 'berbeda', 'dengan', 'suhu', 'kota', 'yang', 'panas']","['tempatnya', 'sejuk', 'berbeda', 'suhu', 'kota', 'panas']","['tempat', 'sejuk', 'beda', 'suhu', 'kota', 'panas']"
Angeline Suseno,Tempat yang indah dan sederhana untuk menghabiskan akhir pekan.   Banyak hotel dan villa di sekitar.   Mudah untuk mendapatkan makanan dan makanan ringan.   Banyak toko dan warung makan di sekitar danau.   Anda bisa berjalan-jalan dengan berjalan …,,,Positif,Tempat yang indah dan sederhana untuk menghabiskan akhir pekan    Banyak hotel dan villa di sekitar    Mudah untuk mendapatkan makanan dan makanan ringan    Banyak toko dan warung makan di sekitar danau    Anda bisa berjalan jalan dengan berjalan …,Tempat yang indah dan sederhana untuk menghabiskan akhir pekan    Banyak hotel dan villa di sekitar    Mudah untuk mendapatkan makanan dan makanan ringan    Banyak toko dan warung makan di sekitar danau    Anda bisa berjalan jalan dengan berjalan ,Tempat yang indah dan sederhana untuk menghabiskan akhir pekan Banyak hotel dan villa di sekitar Mudah untuk mendapatkan makanan dan makanan ringan Banyak toko dan warung makan di sekitar danau Anda bisa berjalan jalan dengan berjalan ,tempat yang indah dan sederhana untuk menghabiskan akhir pekan banyak hotel dan villa di sekitar mudah untuk mendapatkan makanan dan makanan ringan banyak toko dan warung makan di sekitar danau anda bisa berjalan jalan dengan berjalan ,"['tempat', 'yang', 'indah', 'dan', 'sederhana', 'untuk', 'menghabiskan', 'akhir', 'pekan', 'banyak', 'hotel', 'dan', 'villa', 'di', 'sekitar', 'mudah', 'untuk', 'mendapatkan', 'makanan', 'dan', 'makanan', 'ringan', 'banyak', 'toko', 'dan', 'warung', 'makan', 'di', 'sekitar', 'danau', 'anda', 'bisa', 'berjalan', 'jalan', 'dengan', 'berjalan']","['tempat', 'yang', 'indah', 'dan', 'sederhana', 'untuk', 'menghabiskan', 'akhir', 'pekan', 'banyak', 'hotel', 'dan', 'villa', 'di', 'sekitar', 'mudah', 'untuk', 'mendapatkan', 'makanan', 'dan', 'makanan', 'ringan', 'banyak', 'toko', 'dan', 'warung', 'makan', 'di', 'sekitar', 'danau', 'anda', 'bisa', 'berjalan', 'jalan', 'dengan', 'berjalan']","['indah', 'sederhana', 'menghabiskan', 'pekan', 'hotel', 'villa', 'mudah', 'makanan', 'makanan', 'ringan', 'toko', 'warung', 'makan', 'danau', 'berjalan', 'jalan', 'berjalan']","['indah', 'sederhana', 'habis', 'pekan', 'hotel', 'villa', 'mudah', 'makan', 'makan', 'ringan', 'toko', 'warung', 'makan', 'danau', 'jalan', 'jalan', 'jalan']"
Johannes,"pesannya gratis,  gak perlu bayar 😎 …",,,,pesannya gratis   gak perlu bayar 😎 …,pesannya gratis   gak perlu bayar  ,pesannya gratis gak perlu bayar  ,pesannya gratis gak perlu bayar  ,"['pesannya', 'gratis', 'gak', 'perlu', 'bayar']","['pesannya', 'gratis', 'gak', 'perlu', 'bayar']","['pesannya', 'gratis', 'gak', 'bayar']","['pesan', 'gratis', 'gak', 'bayar']"
Muhammad Iqbal Arya Putra,Tempatnya bagus dan sejuk.   Banyak orang di akhir pekan.   Ada speedboat dan Anda bisa menyewa kuda untuk ditunggangi.  ,Positif,,Positif,Tempatnya bagus dan sejuk    Banyak orang di akhir pekan    Ada speedboat dan Anda bisa menyewa kuda untuk ditunggangi,Tempatnya bagus dan sejuk    Banyak orang di akhir pekan    Ada speedboat dan Anda bisa menyewa kuda untuk ditunggangi,Tempatnya bagus dan sejuk Banyak orang di akhir pekan Ada speedboat dan Anda bisa menyewa kuda untuk ditunggangi,tempatnya bagus dan sejuk banyak orang di akhir pekan ada speedboat dan anda bisa menyewa kuda untuk ditunggangi,"['tempatnya', 'bagus', 'dan', 'sejuk', 'banyak', 'orang', 'di', 'akhir', 'pekan', 'ada', 'speedboat', 'dan', 'anda', 'bisa', 'menyewa', 'kuda', 'untuk', 'ditunggangi']","['tempatnya', 'bagus', 'dan', 'sejuk', 'banyak', 'orang', 'di', 'akhir', 'pekan', 'ada', 'speedboat', 'dan', 'anda', 'bisa', 'menyewa', 'kuda', 'untuk', 'ditunggangi']","['tempatnya', 'bagus', 'sejuk', 'orang', 'pekan', 'speedboat', 'menyewa', 'kuda', 'ditunggangi']","['tempat', 'bagus', 'sejuk', 'orang', 'pekan', 'speedboat', 'sewa', 'kuda', 'tunggang']"
Alfi Nur Aini (Alfi),"Salah satu tempat yang bagus untuk menghabiskan liburan bersama keluarga.   Saran saya,  berkunjung ke sini pada hari kerja karena setiap akhir pekan akan sangat ramai.   Bawalah payung karena panas matahari mungkin terlalu terik dan untuk …",,,Positif,Salah satu tempat yang bagus untuk menghabiskan liburan bersama keluarga    Saran saya   berkunjung ke sini pada hari kerja karena setiap akhir pekan akan sangat ramai    Bawalah payung karena panas matahari mungkin terlalu terik dan untuk …,Salah satu tempat yang bagus untuk menghabiskan liburan bersama keluarga    Saran saya   berkunjung ke sini pada hari kerja karena setiap akhir pekan akan sangat ramai    Bawalah payung karena panas matahari mungkin terlalu terik dan untuk ,Salah satu tempat yang bagus untuk menghabiskan liburan bersama keluarga Saran saya berkunjung ke sini pada hari kerja karena setiap akhir pekan akan sangat ramai Bawalah payung karena panas matahari mungkin terlalu terik dan untuk ,salah satu tempat yang bagus untuk menghabiskan liburan bersama keluarga saran saya berkunjung ke sini pada hari kerja karena setiap akhir pekan akan sangat ramai bawalah payung karena panas matahari mungkin terlalu terik dan untuk ,"['salah', 'satu', 'tempat', 'yang', 'bagus', 'untuk', 'menghabiskan', 'liburan', 'bersama', 'keluarga', 'saran', 'saya', 'berkunjung', 'ke', 'sini', 'pada', 'hari', 'kerja', 'karena', 'setiap', 'akhir', 'pekan', 'akan', 'sangat', 'ramai', 'bawalah', 'payung', 'karena', 'panas', 'matahari', 'mungkin', 'terlalu', 'terik', 'dan', 'untuk']","['salah', 'satu', 'tempat', 'yang', 'bagus', 'untuk', 'menghabiskan', 'liburan', 'bersama', 'keluarga', 'saran', 'saya', 'berkunjung', 'ke', 'sini', 'pada', 'hari', 'kerja', 'karena', 'setiap', 'akhir', 'pekan', 'akan', 'sangat', 'ramai', 'bawalah', 'payung', 'karena', 'panas', 'matahari', 'mungkin', 'terlalu', 'terik', 'dan', 'untuk']","['salah', 'bagus', 'menghabiskan', 'liburan', 'keluarga', 'saran', 'berkunjung', 'kerja', 'pekan', 'ramai', 'bawalah', 'payung', 'panas', 'matahari', 'terik']","['salah', 'bagus', 'habis', 'libur', 'keluarga', 'saran', 'kunjung', 'kerja', 'pekan', 'ramai', 'bawa', 'payung', 'panas', 'matahari', 'terik']"
shepty liesti,"Keren,  indah,  tiket masuknya murah.  .   Rutenya tidak terlalu ekstrim.   Speedboat murah hanya 80k untuk 4 orang.  .   …",,Positif,Positif,Keren   indah   tiket masuknya murah       Rutenya tidak terlalu ekstrim    Speedboat murah hanya 80k untuk 4 orang       …,Keren   indah   tiket masuknya murah       Rutenya tidak terlalu ekstrim    Speedboat murah hanya 80k untuk 4 orang       ,Keren indah tiket masuknya murah Rutenya tidak terlalu ekstrim Speedboat murah hanya 80k untuk 4 orang ,keren indah tiket masuknya murah rutenya tidak terlalu ekstrim speedboat murah hanya 80k untuk 4 orang ,"['keren', 'indah', 'tiket', 'masuknya', 'murah', 'rutenya', 'tidak', 'terlalu', 'ekstrim', 'speedboat', 'murah', 'hanya', '80k', 'untuk', '4', 'orang']","['keren', 'indah', 'tiket', 'masuknya', 'murah', 'rutenya', 'tidak', 'terlalu', 'ekstrim', 'speedboat', 'murah', 'hanya', '80k', 'untuk', '4', 'orang']","['keren', 'indah', 'tiket', 'masuknya', 'murah', 'rutenya', 'ekstrim', 'speedboat', 'murah', '80k', '4', 'orang']","['keren', 'indah', 'tiket', 'masuk', 'murah', 'rute', 'ekstrim', 'speedboat', 'murah', '80k', '4', 'orang']"
Claire,"Naik kuda,  speed boat,  pasar sayur mayur,  jajanan,  bumbu pecel,  hotel tua & hotel murah dan hotel mahal budget 1 juta rupiah.   Gambar ini adalah perjalanan luar ke tawangmangu dari sarangan",,,,Naik kuda   speed boat   pasar sayur mayur   jajanan   bumbu pecel   hotel tua & hotel murah dan hotel mahal budget 1 juta rupiah    Gambar ini adalah perjalanan luar ke tawangmangu dari sarangan,Naik kuda   speed boat   pasar sayur mayur   jajanan   bumbu pecel   hotel tua & hotel murah dan hotel mahal budget 1 juta rupiah    Gambar ini adalah perjalanan luar ke tawangmangu dari sarangan,Naik kuda speed boat pasar sayur mayur jajanan bumbu pecel hotel tua & hotel murah dan hotel mahal budget 1 juta rupiah Gambar ini adalah perjalanan luar ke tawangmangu dari sarangan,naik kuda speed boat pasar sayur mayur jajanan bumbu pecel hotel tua & hotel murah dan hotel mahal budget 1 juta rupiah gambar ini adalah perjalanan luar ke tawangmangu dari sarangan,"['naik', 'kuda', 'speed', 'boat', 'pasar', 'sayur', 'mayur', 'jajanan', 'bumbu', 'pecel', 'hotel', 'tua', '&', 'hotel', 'murah', 'dan', 'hotel', 'mahal', 'budget', '1', 'juta', 'rupiah', 'gambar', 'ini', 'adalah', 'perjalanan', 'luar', 'ke', 'tawangmangu', 'dari', 'sarangan']","['naik', 'kuda', 'speed', 'boat', 'pasar', 'sayur', 'mayur', 'jajanan', 'bumbu', 'pecel', 'hotel', 'tua', '&', 'hotel', 'murah', 'dan', 'hotel', 'mahal', 'budget', '1', 'juta', 'rupiah', 'gambar', 'ini', 'adalah', 'perjalanan', 'luar', 'ke', 'tawangmangu', 'dari', 'sarangan']","['kuda', 'speed', 'boat', 'pasar', 'sayur', 'mayur', 'jajanan', 'bumbu', 'pecel', 'hotel', 'tua', '&', 'hotel', 'murah', 'hotel', 'mahal', 'budget', '1', 'juta', 'rupiah', 'gambar', 'perjalanan', 'tawangmangu', 'sarangan']","['kuda', 'speed', 'boat', 'pasar', 'sayur', 'mayur', 'jajan', 'bumbu', 'pecel', 'hotel', 'tua', '', 'hotel', 'murah', 'hotel', 'mahal', 'budget', '1', 'juta', 'rupiah', 'gambar', 'jalan', 'tawangmangu', 'sarangan']"
Andika A,Tempat yang sangat sejuk dan indah,Positif,,Positif,Tempat yang sangat sejuk dan indah,Tempat yang sangat sejuk dan indah,Tempat yang sangat sejuk dan indah,tempat yang sangat sejuk dan indah,"['tempat', 'yang', 'sangat', 'sejuk', 'dan', 'indah']","['tempat', 'yang', 'sangat', 'sejuk', 'dan', 'indah']","['sejuk', 'indah']","['sejuk', 'indah']"
